172.32,3.73,2.94,Yes,,TRUE(171.76 might be real one),
169.02,4.502,4.43,,,,
166.14,4.8,7.013,,,,
163.08,4.8,9.77,,,,
160.06,4.39,10.95,,,,
157.02,3.55,11.58,,,,
171.76,3.78,3.03,,,TRUE,
175.08,3.212,3.277,,,,
178.1,2.728,3.976,,,,
181,2.376,4.544,,,,
184.02,2.024,5.068,,,,
187.04,1.696,5.417,,,,

171.62,4.4,2.141,,,TRUE,
168.6,5.28,4.281,,,,
165.58,5.983,7.864,,,,
162.54,5.719,11.36,,,,
159.5,4.708,12.58,,,,
156.46,3.74,12.58,,,,
174.5,3.564,2.709,,,,
177.68,2.948,3.67,,,,
180.56,2.508,4.413,,,,
183.58,2.112,5.068,,,,
186.62,1.766,5.505,,,,
